node_name	passing_clusters	all_clusters	sequence_id	file_name	contig_name	length	trusted	cluster_weight	consensus_weight
37__metamdbg_01.fasta__ctg17__25659_bp	none	25	37	metamdbg_01.fasta	ctg17	25659	false	1	1
38__metamdbg_02.fasta__ctg3__62058_bp	none	15	38	metamdbg_02.fasta	ctg3	62058	false	1	1
39__metamdbg_02.fasta__ctg4__16174_bp	none	27	39	metamdbg_02.fasta	ctg4	16174	false	1	1
40__metamdbg_02.fasta__ctg7__174693_bp	14	14	40	metamdbg_02.fasta	ctg7	174693	false	1	1
41__metamdbg_02.fasta__ctg8__1585775_bp	none	5	41	metamdbg_02.fasta	ctg8	1585775	false	1	1
42__metamdbg_02.fasta__ctg10__3353_bp	none	34	42	metamdbg_02.fasta	ctg10	3353	false	1	1
43__metamdbg_02.fasta__ctg11__31948_bp	none	23	43	metamdbg_02.fasta	ctg11	31948	false	1	1
44__metamdbg_02.fasta__ctg12__11667_bp	none	28	44	metamdbg_02.fasta	ctg12	11667	false	1	1
45__metamdbg_02.fasta__ctg14__1327140_bp	none	6	45	metamdbg_02.fasta	ctg14	1327140	false	1	1
46__metamdbg_02.fasta__ctg16__9477_bp	none	30	46	metamdbg_02.fasta	ctg16	9477	false	1	1
47__metamdbg_02.fasta__ctg17__42570_bp	none	19	47	metamdbg_02.fasta	ctg17	42570	false	1	1
48__metamdbg_02.fasta__ctg20__17732_bp	none	26	48	metamdbg_02.fasta	ctg20	17732	false	1	1
49__metamdbg_03.fasta__ctg1__747405_bp	none	10	49	metamdbg_03.fasta	ctg1	747405	false	1	1
50__metamdbg_03.fasta__ctg3__889416_bp	none	8	50	metamdbg_03.fasta	ctg3	889416	false	1	1
51__metamdbg_03.fasta__ctg6__38876_bp	none	21	51	metamdbg_03.fasta	ctg6	38876	false	1	1
52__metamdbg_03.fasta__ctg7__757123_bp	none	9	52	metamdbg_03.fasta	ctg7	757123	false	1	1
53__metamdbg_03.fasta__ctg8__17445_bp	none	26	53	metamdbg_03.fasta	ctg8	17445	false	1	1
54__metamdbg_03.fasta__ctg9__3353_bp	none	34	54	metamdbg_03.fasta	ctg9	3353	false	1	1
55__metamdbg_03.fasta__ctg10__637227_bp	none	11	55	metamdbg_03.fasta	ctg10	637227	false	1	1
56__metamdbg_03.fasta__ctg17__42969_bp	18	18	56	metamdbg_03.fasta	ctg17	42969	false	1	1
57__metamdbg_03.fasta__ctg18__12400_bp	none	28	57	metamdbg_03.fasta	ctg18	12400	false	1	1
58__metamdbg_03.fasta__ctg19__7825_bp	none	32	58	metamdbg_03.fasta	ctg19	7825	false	1	1
59__metamdbg_03.fasta__ctg20__114876_bp	14	14	59	metamdbg_03.fasta	ctg20	114876	false	1	1
60__metamdbg_03.fasta__ctg23__3806_bp	none	33	60	metamdbg_03.fasta	ctg23	3806	false	1	1
61__metamdbg_04.fasta__ctg0__10976_bp	none	28	61	metamdbg_04.fasta	ctg0	10976	false	1	1
62__metamdbg_04.fasta__ctg2__3353_bp	none	34	62	metamdbg_04.fasta	ctg2	3353	false	1	1
63__metamdbg_04.fasta__ctg3__9136_bp	none	30	63	metamdbg_04.fasta	ctg3	9136	false	1	1
64__metamdbg_04.fasta__ctg5__53533_bp	none	16	64	metamdbg_04.fasta	ctg5	53533	false	1	1
65__metamdbg_04.fasta__ctg7__29533_bp	none	24	65	metamdbg_04.fasta	ctg7	29533	false	1	1
66__metamdbg_04.fasta__ctg8__16165_bp	none	27	66	metamdbg_04.fasta	ctg8	16165	false	1	1
67__metamdbg_04.fasta__ctg9__42003_bp	none	20	67	metamdbg_04.fasta	ctg9	42003	false	1	1
68__metamdbg_04.fasta__ctg10__1232177_bp	none	7	68	metamdbg_04.fasta	ctg10	1232177	false	1	1
69__metamdbg_04.fasta__ctg12__114876_bp	14	14	69	metamdbg_04.fasta	ctg12	114876	false	1	1
70__metamdbg_04.fasta__ctg13__1662299_bp	none	4	70	metamdbg_04.fasta	ctg13	1662299	false	1	1
71__metamdbg_04.fasta__ctg14__3806_bp	none	33	71	metamdbg_04.fasta	ctg14	3806	false	1	1
72__metamdbg_04.fasta__ctg17__8048_bp	none	31	72	metamdbg_04.fasta	ctg17	8048	false	1	1
73__metamdbg_04.fasta__ctg18__35980_bp	none	21	73	metamdbg_04.fasta	ctg18	35980	false	1	1
74__metamdbg_04.fasta__ctg21__42979_bp	18	18	74	metamdbg_04.fasta	ctg21	42979	false	1	1
75__miniasm_01.fasta__utg000001c__2841129_bp	1	1	75	miniasm_01.fasta	utg000001c	2841129	false	1	1
76__miniasm_01.fasta__utg000002c__42975_bp	18	18	76	miniasm_01.fasta	utg000002c	42975	false	1	1
77__miniasm_01.fasta__utg000003l__163941_bp	14	14	77	miniasm_01.fasta	utg000003l	163941	false	1	1
78__miniasm_02.fasta__utg000001l__2778371_bp	none	2	78	miniasm_02.fasta	utg000001l	2778371	false	1	1
79__miniasm_02.fasta__utg000002l__163952_bp	14	14	79	miniasm_02.fasta	utg000002l	163952	false	1	1
80__miniasm_02.fasta__utg000003c__42974_bp	18	18	80	miniasm_02.fasta	utg000003c	42974	false	1	1
81__miniasm_03.fasta__utg000001c__2802223_bp	1	1	81	miniasm_03.fasta	utg000001c	2802223	false	1	1
82__miniasm_03.fasta__utg000002l__163955_bp	14	14	82	miniasm_03.fasta	utg000002l	163955	false	1	1
83__miniasm_03.fasta__utg000003c__42974_bp	18	18	83	miniasm_03.fasta	utg000003c	42974	false	1	1
84__miniasm_04.fasta__utg000001c__2802258_bp	1	1	84	miniasm_04.fasta	utg000001c	2802258	false	1	1
85__miniasm_04.fasta__utg000002l__150645_bp	14	14	85	miniasm_04.fasta	utg000002l	150645	false	1	1
86__miniasm_04.fasta__utg000003c__42973_bp	18	18	86	miniasm_04.fasta	utg000003c	42973	false	1	1
87__raven_01.fasta__Utg622__2802259_bp	1	1	87	raven_01.fasta	Utg622	2802259	false	1	1
88__raven_01.fasta__Utg626__114889_bp	14	14	88	raven_01.fasta	Utg626	114889	false	1	1
89__raven_02.fasta__Utg644__2802226_bp	1	1	89	raven_02.fasta	Utg644	2802226	false	1	1
90__raven_02.fasta__Utg648__114887_bp	14	14	90	raven_02.fasta	Utg648	114887	false	1	1
91__raven_03.fasta__Utg674__2802208_bp	1	1	91	raven_03.fasta	Utg674	2802208	false	1	1
92__raven_03.fasta__Utg678__114869_bp	14	14	92	raven_03.fasta	Utg678	114869	false	1	1
93__raven_04.fasta__Utg680__114868_bp	14	14	93	raven_04.fasta	Utg680	114868	false	1	1
94__raven_04.fasta__Utg682__2802234_bp	1	1	94	raven_04.fasta	Utg682	2802234	false	1	1
